midfielder,defender,overall,weak_foot,skill_moves,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
0,1,73,3,4,78,56,42,65,49,76,63,41,63,73,91,88,79,72,84,72,82,78,59,56,66,69,69,58,53,68,68,68,69
0,1,73,2,2,25,23,75,59,24,34,21,23,59,49,71,73,70,68,65,44,72,68,87,37,78,74,37,56,30,64,66,75,71
0,1,73,5,2,23,48,78,68,40,56,22,24,65,63,54,54,48,65,49,53,73,54,83,21,65,73,25,43,32,67,73,73,71
1,0,73,3,3,64,53,64,75,59,72,69,57,69,73,75,75,77,71,81,59,74,81,65,59,69,70,60,69,58,72,73,74,68
0,0,73,4,3,69,73,73,67,69,68,68,51,60,70,67,77,52,66,56,77,62,77,87,67,72,36,74,64,70,73,39,21,21
0,1,73,2,2,52,28,65,68,33,53,43,38,67,63,60,54,56,71,56,49,75,65,76,31,73,76,41,44,46,63,74,75,72
0,0,73,2,3,65,73,59,64,66,74,62,34,56,72,93,93,84,71,75,72,76,77,70,63,59,32,71,62,52,70,38,21,20
1,0,73,3,3,66,63,63,73,49,70,69,40,70,70,68,69,77,70,84,70,83,91,67,63,78,70,67,68,61,71,70,71,69
1,0,73,3,3,69,59,67,73,67,68,73,70,73,73,60,59,73,69,71,72,64,83,65,74,58,72,68,71,58,68,69,70,68
0,0,73,4,3,71,75,53,73,38,77,67,66,65,77,76,74,77,70,72,69,68,70,59,62,48,28,74,72,71,80,30,42,34
1,0,73,3,3,72,69,48,69,69,74,74,49,64,72,80,78,76,66,76,75,54,80,59,66,57,48,71,69,49,67,57,39,32
1,0,73,3,3,75,64,43,67,62,75,71,64,57,72,88,82,89,70,89,76,84,72,45,70,72,27,67,65,54,73,26,28,22
1,0,73,3,3,74,73,42,73,52,77,60,42,70,75,70,66,70,65,59,73,50,61,63,70,50,40,72,70,49,65,38,36,38
0,1,73,3,3,72,30,63,68,39,68,54,39,61,70,73,73,72,71,70,57,74,76,62,40,72,70,53,44,47,69,71,76,74
0,0,73,3,3,69,76,63,65,59,74,57,55,52,73,86,84,82,71,68,70,47,65,65,68,46,25,74,73,61,68,47,21,21
0,1,73,2,2,69,45,68,72,33,64,74,60,75,57,57,74,52,71,55,62,70,70,76,51,70,71,24,45,39,66,74,74,71
0,1,73,3,2,72,40,69,70,37,61,56,45,66,64,87,79,76,63,66,50,77,90,81,50,58,66,64,53,40,55,69,71,71
0,0,73,3,4,59,76,58,71,69,79,52,48,58,77,79,80,85,73,85,65,87,69,49,69,63,27,78,73,69,67,32,24,26
0,1,73,3,2,25,16,73,67,28,53,27,21,54,66,58,55,57,66,42,35,79,68,83,32,78,70,27,32,31,69,65,73,73
0,1,73,3,3,74,53,59,71,60,72,72,70,65,71,77,75,72,74,71,79,64,77,61,70,68,69,70,65,45,65,68,71,73
0,0,73,3,2,44,77,79,60,67,62,56,60,48,70,64,70,57,66,44,76,77,72,86,64,46,21,76,59,68,66,25,15,21
1,0,73,3,3,65,37,58,73,46,66,61,70,71,71,70,70,68,69,75,73,71,84,71,66,76,73,48,66,49,68,69,72,69
1,0,73,3,3,58,62,62,76,59,72,61,42,70,68,74,69,69,69,70,77,66,68,74,65,75,75,63,60,50,70,73,72,77
0,1,73,3,2,26,35,72,67,28,42,21,26,68,64,68,76,69,67,59,33,83,78,85,21,80,69,28,35,37,58,72,70,67
1,0,73,3,3,67,46,63,74,48,72,59,65,69,70,72,74,71,69,72,60,66,83,70,59,70,71,60,67,40,70,70,74,72
0,1,73,2,3,72,33,44,69,37,75,71,60,44,70,73,76,71,65,66,44,73,86,63,34,75,70,41,55,38,61,72,73,74
0,1,73,2,2,44,35,71,59,33,59,41,45,54,61,62,64,56,68,58,70,92,77,77,46,84,68,45,45,49,65,73,74,72
0,0,73,3,3,34,75,73,61,62,65,67,28,24,70,69,65,56,68,46,75,75,75,88,63,67,15,74,40,62,70,35,15,24
0,1,73,4,4,72,61,56,72,57,76,70,48,54,73,83,81,85,75,80,66,63,83,55,54,72,64,69,64,47,71,65,68,71
0,0,73,3,3,69,70,75,71,66,69,45,45,59,72,70,77,66,68,61,73,75,75,72,68,68,39,73,69,63,62,38,48,34
0,1,73,3,2,49,18,72,69,26,55,27,24,58,69,58,62,57,70,33,57,58,64,76,21,75,74,26,54,43,62,72,73,72
0,1,73,4,3,67,61,68,67,45,71,67,60,63,68,78,77,79,69,85,70,91,84,68,67,63,71,68,63,61,64,66,74,73
0,1,73,4,3,72,47,56,70,54,68,73,67,67,66,73,77,72,69,73,75,72,90,70,65,71,71,52,62,48,68,72,74,71
1,0,73,4,3,64,65,55,72,59,76,68,61,68,75,71,71,80,73,84,72,49,69,35,64,71,42,68,73,67,67,36,53,51
1,0,73,4,3,67,70,34,68,65,72,78,72,63,75,86,81,86,75,87,67,90,73,65,66,42,38,67,68,60,64,40,44,38
1,0,73,3,3,70,69,79,67,68,67,48,32,66,69,72,76,66,77,59,72,93,89,85,63,85,66,73,71,46,58,67,69,68
0,1,73,3,2,34,30,75,65,32,46,30,28,56,63,64,61,56,66,55,53,83,48,77,22,68,72,25,49,40,74,73,72,70
0,1,73,2,2,63,24,68,62,28,58,29,30,58,62,63,64,50,66,36,60,59,67,74,26,78,74,30,47,44,65,73,76,74
1,0,73,3,3,66,67,46,68,61,74,72,47,63,70,82,82,79,68,79,71,75,86,56,64,77,51,72,70,66,67,60,64,57
0,0,73,2,3,67,76,58,68,71,72,62,45,55,74,76,70,74,68,67,75,90,62,68,75,35,13,76,57,59,73,18,15,19
1,0,73,2,3,53,63,66,73,59,73,63,78,73,73,68,67,65,71,53,77,62,68,69,76,76,73,69,67,72,69,71,74,69
1,0,73,3,3,65,76,65,76,66,72,73,71,70,73,63,69,62,67,66,76,55,77,78,72,54,34,72,73,70,71,32,50,53
1,0,73,3,3,69,52,39,81,45,74,71,69,76,75,65,56,68,68,68,68,58,75,63,74,64,65,65,76,69,62,66,69,66
0,1,73,3,2,58,24,71,64,34,62,37,24,64,66,67,75,59,71,64,55,81,76,81,32,77,71,37,60,20,71,71,70,74
0,1,73,3,2,41,42,80,63,26,45,33,31,62,54,34,42,32,62,38,73,83,72,85,31,64,70,40,37,40,62,76,76,70
1,0,73,4,3,70,70,68,76,68,68,70,74,72,72,65,72,68,65,65,79,68,73,73,78,61,44,72,75,63,65,45,33,41
0,1,73,3,2,37,51,80,65,28,45,29,36,61,69,61,63,62,68,54,46,78,74,87,32,71,69,50,26,55,67,70,65,71
0,0,73,3,3,30,74,76,63,74,70,66,44,46,71,58,58,53,71,39,80,49,51,87,67,79,31,74,59,79,76,20,23,25
0,1,73,3,3,72,35,66,70,50,68,68,55,64,69,66,73,70,70,65,69,53,74,65,56,75,71,60,50,49,68,72,74,74
0,0,73,2,3,52,75,67,64,63,70,55,48,58,73,86,87,88,70,82,69,73,75,67,62,73,24,73,53,65,58,32,38,33
1,0,73,3,3,69,75,68,72,60,78,45,28,62,75,70,70,74,70,66,74,78,69,68,70,64,22,72,64,56,57,24,24,18
0,1,73,3,2,48,47,70,69,57,64,32,35,64,66,65,64,55,65,64,58,62,75,79,52,74,73,58,64,33,75,71,72,73
1,0,73,4,4,79,65,49,74,53,74,74,72,63,75,73,68,77,73,76,78,60,69,39,73,66,60,67,74,70,68,44,58,53
0,1,73,3,2,39,52,78,67,49,42,33,38,66,63,53,63,45,70,43,57,78,76,84,40,82,72,48,37,56,67,72,69,63
0,1,73,2,3,65,47,65,70,56,64,67,66,60,67,78,83,68,68,60,77,73,88,80,67,76,68,69,69,52,70,72,71,70
0,0,73,3,3,56,74,70,66,66,73,66,38,47,70,84,82,84,71,67,66,66,82,65,65,55,43,77,67,70,70,32,34,37
1,0,73,3,2,37,33,70,69,35,53,41,34,64,61,63,53,38,68,41,71,46,81,88,51,83,77,48,56,55,68,73,76,71
0,1,73,2,3,73,55,54,72,42,74,72,60,62,69,86,84,85,71,85,64,78,78,65,54,75,70,69,65,59,67,72,70,70
0,1,73,2,2,47,23,70,57,30,47,35,30,46,58,52,41,57,72,47,45,74,64,84,23,76,68,38,36,45,57,74,77,75
1,0,73,2,3,51,43,75,68,41,65,38,35,65,68,48,54,53,76,55,66,57,90,89,44,72,74,68,65,48,74,75,72,63
1,0,73,5,3,68,66,51,75,65,78,68,69,65,75,82,86,83,54,81,75,74,79,42,65,65,32,65,62,55,68,39,38,34
0,0,73,4,2,39,76,73,56,72,63,50,31,34,72,66,80,53,73,41,75,63,64,82,60,49,24,73,48,68,64,20,17,25
1,0,73,3,2,61,50,55,70,28,60,41,58,67,66,72,77,69,67,82,66,67,86,65,58,80,72,48,59,59,66,75,77,76
1,0,73,4,3,75,64,60,71,60,72,75,52,66,72,71,74,63,70,63,69,61,85,74,66,72,62,70,72,62,70,59,64,59
0,1,73,2,2,31,34,68,67,46,57,25,32,68,62,72,75,65,68,58,68,76,62,70,63,73,74,38,46,66,67,74,76,70
1,0,73,4,3,71,73,72,71,66,73,69,56,71,75,74,78,76,70,64,76,65,68,71,74,49,33,74,67,59,68,36,33,35
0,1,73,2,2,75,35,61,69,36,68,45,29,61,70,86,88,72,70,72,62,77,82,68,48,69,68,56,62,31,57,65,69,69
1,0,73,3,3,58,67,44,76,60,77,68,65,74,75,56,62,67,71,72,75,59,70,76,70,76,69,67,68,62,76,70,69,63
1,0,73,3,3,57,35,58,75,56,65,56,54,66,67,66,57,71,65,70,61,74,78,71,61,77,77,52,63,55,73,74,75,70
0,0,73,4,3,63,71,75,61,69,74,60,61,50,75,84,82,70,67,70,64,82,68,71,64,70,20,78,60,59,73,30,22,26
0,0,73,4,3,70,65,42,75,63,75,75,77,71,75,74,65,77,65,86,76,48,63,32,68,67,44,69,75,66,69,44,48,50
1,0,73,3,3,60,58,63,75,44,70,50,46,68,74,76,62,81,77,83,70,65,89,73,63,80,78,66,62,52,67,72,72,68
0,0,73,5,3,57,73,72,70,65,67,38,31,43,69,69,77,62,64,64,76,81,68,83,67,66,30,74,59,63,56,24,43,46
1,0,73,4,4,72,69,56,70,56,74,62,75,65,73,76,72,77,67,69,74,60,73,58,77,66,22,71,72,65,70,48,35,33
1,0,73,3,3,67,66,67,73,48,71,50,68,73,73,71,70,71,69,80,71,73,81,72,69,68,71,67,70,61,68,62,69,68
0,1,73,3,2,30,23,68,62,44,26,33,24,58,54,56,63,63,67,65,57,78,86,82,22,77,74,35,30,33,64,73,75,70
0,1,73,4,2,64,32,71,65,41,60,44,35,65,60,58,49,44,74,51,47,85,80,80,39,73,72,57,60,41,75,73,72,75
1,0,73,3,4,69,65,58,75,66,74,72,72,75,76,56,57,60,61,57,76,47,64,76,73,45,67,73,74,67,74,64,66,62
1,0,73,2,3,72,75,56,72,62,78,65,58,60,73,78,75,78,68,68,76,51,72,64,70,45,32,72,69,62,57,40,30,28
0,1,73,3,2,29,25,77,71,37,52,42,36,59,61,56,60,35,65,54,54,79,89,69,39,80,73,51,46,43,66,73,73,70
0,0,73,3,3,60,75,70,68,72,69,69,51,25,73,67,70,70,68,63,73,70,65,69,69,41,35,75,63,64,71,38,11,12
1,0,73,2,3,73,59,44,72,67,74,73,69,73,73,77,67,79,72,84,73,79,82,66,67,81,71,62,75,64,75,69,67,67
1,0,73,4,3,54,59,55,73,70,75,42,53,72,76,81,76,79,71,81,61,73,87,73,57,64,65,66,72,61,74,64,63,60
0,1,73,3,2,35,35,73,74,13,40,28,35,60,68,42,62,32,70,32,48,71,72,84,27,76,72,32,54,37,67,65,72,71
0,1,73,3,3,73,56,68,72,39,70,62,46,71,72,76,75,70,71,64,59,69,75,59,41,66,67,68,69,49,72,68,73,74
1,0,73,4,3,66,65,62,73,69,73,56,62,71,76,64,70,58,74,53,84,59,81,79,74,75,67,68,75,63,66,40,64,56
0,1,73,3,2,35,36,71,74,31,58,44,34,66,65,64,67,66,68,64,59,92,72,79,37,73,74,52,58,30,70,71,70,69
1,0,73,3,3,68,61,45,75,66,73,80,77,73,75,69,70,72,77,77,75,57,78,57,71,57,59,65,74,72,79,61,63,40
1,0,73,3,3,65,69,60,65,68,71,60,48,57,70,95,92,87,71,86,70,74,89,49,69,33,24,72,65,68,68,28,28,24
0,1,73,3,2,38,25,73,65,40,47,37,41,57,55,68,67,67,72,59,54,75,70,80,45,73,72,49,56,50,63,72,73,72
1,0,73,4,3,61,52,63,75,59,67,58,60,73,76,58,62,63,71,64,70,66,76,73,60,80,68,63,65,68,68,66,70,66
0,0,73,4,3,74,67,57,73,69,73,66,42,67,74,75,78,77,71,71,75,77,86,75,78,40,61,67,71,55,70,67,68,60
1,0,73,3,3,64,50,51,76,56,69,74,71,77,74,74,70,84,72,79,68,52,78,60,68,62,64,65,75,67,77,61,60,57
1,0,73,3,3,58,56,60,70,44,76,41,50,65,72,75,73,72,75,78,69,65,90,69,49,91,71,69,70,53,58,66,74,65
0,1,73,3,3,72,30,68,71,39,69,64,42,69,68,68,77,47,74,42,61,32,81,90,36,80,70,61,52,44,73,72,75,70
1,0,73,3,3,72,29,64,68,30,73,46,40,61,72,77,85,73,69,74,37,79,77,65,35,77,69,66,57,45,62,70,70,69
0,0,73,4,5,72,62,42,70,54,80,74,73,64,78,77,76,81,62,73,76,62,63,47,67,48,26,69,70,56,71,21,22,28
0,1,73,3,3,73,45,67,68,59,64,66,70,65,71,74,76,67,69,67,68,83,79,74,57,72,67,58,58,55,69,69,72,73
1,0,73,3,4,68,71,64,66,66,76,67,69,60,74,92,92,91,66,80,77,84,82,56,73,54,39,70,50,60,68,38,27,29
0,0,73,3,2,46,79,80,60,70,66,63,49,49,74,53,52,67,65,39,69,82,78,89,71,75,30,76,46,67,60,48,43,40
0,1,73,2,2,37,28,72,69,31,40,36,36,67,51,60,62,59,68,59,48,75,86,73,29,78,73,30,35,48,68,75,75,73
0,1,73,2,2,59,27,72,64,36,40,39,33,65,50,58,63,33,70,35,40,82,72,83,21,80,72,40,27,36,63,74,71,70
0,1,73,2,2,57,38,77,64,41,48,55,44,64,66,61,61,43,78,59,55,75,84,80,43,76,70,51,38,38,69,69,74,68
1,0,73,2,3,80,35,73,78,37,73,67,76,77,68,69,65,71,58,72,67,91,76,70,74,79,70,61,77,67,65,67,70,73
1,0,73,4,3,70,74,41,65,68,74,78,73,66,71,89,90,88,70,85,80,54,71,57,79,53,56,72,63,68,71,51,50,47
0,0,73,4,3,66,53,51,76,54,75,66,54,71,73,70,67,81,72,70,53,57,91,49,62,65,52,69,79,44,78,39,56,45
0,1,73,3,2,60,35,74,68,39,55,35,32,66,64,60,71,60,68,62,63,88,78,73,48,66,70,55,47,45,60,73,76,69
0,1,73,3,3,68,34,69,69,42,64,55,34,57,68,70,78,55,70,58,47,65,76,71,34,71,71,55,54,41,65,71,75,74
1,0,73,4,3,72,75,48,66,53,72,56,41,58,68,84,81,74,70,74,69,80,73,72,59,41,40,75,69,65,58,46,48,40
0,0,73,4,2,65,73,78,60,68,64,65,36,58,66,77,81,77,75,63,73,92,71,77,58,68,19,75,62,61,67,21,15,21
0,1,73,3,2,39,36,69,62,30,41,55,57,59,59,55,66,58,63,68,50,82,67,72,57,78,75,21,48,44,60,64,78,77
0,0,73,3,3,60,77,69,65,68,76,69,68,45,73,72,69,86,73,80,71,80,61,59,72,50,37,77,74,76,68,36,12,14
0,0,73,4,3,61,75,71,67,71,70,57,56,49,75,65,65,64,71,60,78,78,71,76,68,47,28,73,66,67,74,30,43,26
1,0,73,3,3,76,66,61,77,62,71,83,85,75,78,52,45,57,69,60,78,67,62,63,78,60,60,62,77,84,75,70,65,58
0,0,73,4,3,75,55,51,78,74,71,81,75,70,80,62,66,65,70,63,73,66,52,66,65,67,51,61,80,74,79,45,35,30
0,1,73,3,3,65,60,74,62,58,64,75,78,71,63,43,32,64,63,61,81,88,60,88,76,88,63,50,56,73,80,72,74,70
0,0,73,3,3,57,75,70,66,62,71,69,62,54,69,77,81,78,74,72,66,74,69,75,63,47,40,75,61,74,71,38,29,20
0,1,73,2,2,44,34,73,70,50,45,58,64,69,60,52,34,64,58,51,67,83,42,82,40,82,71,26,62,58,70,69,74,72
1,0,73,3,3,66,69,55,77,66,70,77,55,71,73,57,50,70,72,54,75,66,65,71,76,71,55,74,75,41,71,50,70,53
1,0,73,4,2,55,61,58,73,53,62,52,63,72,70,46,35,68,77,73,80,77,78,77,64,74,78,69,75,60,76,69,77,71
1,0,73,3,2,59,54,60,70,53,62,64,62,69,70,43,34,64,74,62,72,71,60,74,64,82,77,58,70,60,86,75,72,71
0,1,73,3,2,73,42,62,73,33,72,62,49,68,70,65,66,67,74,69,66,78,67,69,52,69,78,51,60,87,79,78,74,75
1,0,73,3,3,70,62,58,73,66,76,68,65,68,74,72,64,75,74,78,67,58,77,56,63,55,54,70,74,63,72,55,53,41
1,0,73,3,3,72,67,55,69,55,69,80,70,74,72,81,71,79,70,73,67,69,83,74,70,70,59,72,75,59,71,69,70,64
1,0,73,4,2,67,69,78,74,74,68,69,54,72,72,34,34,50,71,48,79,61,67,77,75,72,75,73,75,63,76,67,74,73
1,0,73,3,3,66,73,75,70,69,68,72,50,70,72,66,65,75,73,71,75,87,78,77,67,86,67,75,79,70,81,60,59,57
1,0,73,3,3,65,50,75,79,62,69,67,59,77,72,53,54,52,78,47,74,75,75,83,67,77,78,54,62,45,79,78,78,77
0,1,73,3,3,70,25,61,72,38,69,58,43,73,69,67,66,78,68,79,66,73,72,64,62,72,76,47,64,53,64,75,80,74
1,0,73,3,3,67,68,67,72,56,73,70,54,63,73,81,81,83,70,66,71,68,75,71,70,67,50,73,71,60,73,37,47,39
1,0,73,4,4,68,70,62,71,76,76,68,65,50,74,82,82,90,74,91,72,77,83,64,69,59,54,76,74,65,72,56,33,28
0,1,73,3,3,76,52,67,73,57,73,69,68,69,74,65,62,63,74,69,74,75,63,63,63,64,74,66,71,72,70,73,76,75
0,1,73,3,2,71,61,66,69,39,62,50,49,70,73,75,77,78,71,86,56,50,72,67,50,76,74,65,69,55,74,68,74,74
0,1,73,3,2,25,36,76,45,35,41,19,18,45,47,32,42,30,60,32,70,70,32,91,22,72,78,20,25,33,72,76,73,71
1,0,73,4,3,70,65,56,76,62,73,67,69,68,77,75,72,72,71,80,78,60,90,74,68,83,63,68,72,67,82,65,63,63
0,0,73,3,3,62,76,72,65,72,67,66,60,46,69,69,68,73,69,69,73,47,67,75,64,55,22,80,56,70,70,29,27,24
1,0,73,3,3,59,46,64,76,56,67,66,54,66,69,58,43,70,73,76,68,60,88,67,53,78,70,58,63,66,66,73,69,70
0,1,73,2,2,64,38,72,70,32,59,53,46,62,55,56,51,33,67,36,74,72,70,81,58,80,73,65,58,43,64,68,73,74
0,1,73,3,3,67,29,68,72,28,67,77,65,67,68,68,67,70,73,70,70,66,68,68,62,74,74,43,55,42,75,77,77,73
0,1,73,3,2,44,27,75,69,25,38,47,66,60,55,33,42,35,71,62,85,79,82,88,63,68,70,54,57,44,66,72,73,72
0,1,73,3,2,35,32,66,54,32,42,34,29,52,49,67,72,66,67,67,51,85,69,80,30,68,75,36,39,40,68,74,75,77
0,0,73,3,3,66,72,65,69,74,69,76,72,63,71,71,70,57,72,53,74,76,65,74,67,63,46,78,69,87,78,35,48,45
0,1,73,3,3,72,32,74,73,34,70,70,56,64,71,65,67,62,70,62,51,72,77,77,36,84,71,64,65,59,66,73,74,73
1,0,73,3,3,61,58,65,70,51,65,79,70,69,71,64,34,69,71,62,61,70,83,68,62,74,74,70,72,51,71,73,70,63
1,0,73,3,3,64,64,63,76,69,76,63,75,72,75,73,77,83,70,70,72,55,71,81,70,52,58,69,74,71,70,55,59,47
0,1,73,3,3,76,49,68,75,45,71,67,59,68,74,69,67,69,77,78,59,33,53,58,53,83,76,66,64,51,70,63,77,78
0,1,73,3,2,56,51,68,72,56,63,46,46,69,66,71,73,72,73,73,59,71,81,75,55,70,75,55,64,62,78,74,73,72
0,1,73,3,3,71,58,78,66,54,66,38,47,61,68,71,72,75,74,70,62,70,71,75,53,73,72,54,58,53,65,70,74,74
1,0,73,4,3,64,63,57,73,66,72,68,59,72,74,67,63,75,73,69,74,66,76,58,71,62,65,63,75,65,78,55,65,56
1,0,73,4,3,63,67,60,77,65,72,65,74,74,74,69,65,67,69,65,68,52,59,64,71,70,62,71,70,66,66,59,57,54
0,1,73,2,2,40,40,78,56,33,51,48,37,54,56,51,50,31,64,34,48,70,86,86,50,82,71,27,54,58,57,70,71,71
0,1,73,3,2,38,38,64,64,35,52,42,24,62,58,40,44,52,73,60,36,83,52,80,35,76,79,36,55,46,74,71,74,72
0,0,73,4,3,43,77,81,54,74,66,69,55,36,74,46,51,60,74,48,75,66,66,75,68,56,20,80,58,70,76,29,23,22
1,0,73,4,3,73,65,54,77,73,74,75,72,74,75,67,69,77,70,74,68,71,50,66,68,68,42,74,79,67,66,66,37,35
0,1,73,3,2,47,47,74,60,50,54,59,50,62,57,53,31,65,67,41,62,83,65,84,53,83,73,39,53,46,70,70,73,71
0,1,73,3,3,72,56,73,72,35,65,59,51,56,69,74,72,63,73,58,67,88,82,72,54,75,71,64,64,42,64,65,72,71
0,1,73,4,3,63,65,45,71,72,70,66,61,70,73,66,64,70,71,69,78,59,87,66,72,71,66,70,73,63,74,62,72,66
1,0,73,3,3,73,66,43,76,57,70,82,80,75,72,61,58,59,68,68,79,65,69,72,75,82,68,70,74,79,64,65,72,70
1,0,73,4,3,60,55,85,70,43,63,40,47,70,69,64,68,68,73,69,64,74,91,80,62,79,72,70,67,52,70,66,71,72
1,0,73,2,3,67,69,58,74,65,72,76,76,70,75,64,65,66,69,70,72,68,81,83,70,65,61,68,75,63,70,55,54,52
0,1,73,2,2,27,20,73,65,16,24,22,25,64,47,36,35,30,68,34,43,74,63,77,22,79,71,22,31,28,54,76,75,74
0,1,73,2,2,35,16,74,60,14,39,37,20,55,47,43,50,39,69,55,48,72,54,82,18,75,71,26,49,23,60,73,79,72
1,0,73,3,3,52,63,65,77,69,67,55,50,69,70,62,76,57,73,62,77,72,79,85,67,75,70,68,68,54,66,69,68,64
0,1,73,3,2,36,20,73,60,30,56,24,19,57,59,62,63,52,69,56,44,75,69,85,38,77,72,35,48,45,71,71,73,69
0,0,73,3,4,70,74,60,71,73,74,66,67,62,72,77,74,76,76,65,75,72,74,67,66,70,55,77,73,57,72,35,38,34
1,0,73,2,3,66,64,55,74,62,74,71,55,72,75,68,66,76,70,71,84,67,75,77,76,76,69,70,74,63,69,63,66,61
0,1,73,2,2,52,37,68,63,52,62,48,30,60,56,63,68,53,68,57,59,71,79,79,40,80,75,48,59,31,59,70,73,70
0,1,73,2,2,35,29,74,58,34,50,42,36,58,54,55,51,58,70,49,65,73,57,79,60,76,76,32,28,45,74,75,73,72
0,1,73,2,2,69,52,77,68,28,50,63,77,69,58,33,35,30,61,29,84,34,69,86,72,75,73,54,51,59,68,78,74,70
1,0,73,3,4,73,69,67,69,62,77,77,78,66,79,81,75,91,66,86,77,87,64,66,65,42,46,68,70,62,74,30,41,25
1,0,73,4,3,67,67,78,73,66,75,49,44,74,72,65,71,68,70,51,85,83,82,79,73,82,68,65,68,72,72,67,70,69
0,1,73,3,3,72,46,73,69,33,64,43,34,69,69,55,61,62,74,60,64,65,68,71,59,74,76,64,66,40,72,74,77,78
0,1,73,3,2,59,46,70,72,47,57,67,37,69,63,55,66,67,67,59,70,84,79,82,59,73,72,36,47,46,59,70,72,67
0,0,73,4,3,45,73,72,62,66,72,66,62,42,72,72,66,80,68,61,79,70,74,86,65,57,42,73,49,75,75,42,21,17
1,0,73,3,3,70,69,53,72,64,70,72,75,72,76,66,70,75,71,73,73,65,81,68,74,83,65,66,72,51,75,71,68,64
0,1,73,2,2,52,52,73,68,57,50,25,47,68,58,34,48,37,68,56,62,84,45,76,45,79,76,37,54,53,66,70,74,70
0,0,73,3,3,72,73,76,73,74,75,68,65,70,75,55,57,61,72,55,73,80,77,75,69,42,54,73,73,72,66,44,30,19
0,1,73,3,3,76,66,61,75,44,71,70,61,70,72,72,72,66,70,57,75,63,82,68,67,70,68,69,68,73,75,70,73,72
1,0,73,4,3,71,65,61,72,65,72,69,69,70,70,77,81,79,74,67,63,64,77,68,64,71,59,74,65,67,76,55,66,65
1,0,73,2,3,65,59,66,76,59,66,69,58,73,74,64,61,65,74,72,72,69,84,77,68,77,72,60,66,57,78,75,72,66
1,0,73,4,3,75,69,45,73,75,72,80,75,72,74,75,77,72,67,80,77,63,67,74,72,37,60,70,75,74,72,34,43,30
0,0,73,4,3,55,73,70,67,70,71,65,47,55,72,64,74,66,66,67,76,64,67,78,68,75,36,72,62,76,71,27,40,29
1,0,73,4,4,71,64,55,71,62,73,74,69,65,74,89,84,88,70,77,66,59,81,60,62,75,52,70,70,59,67,58,55,46
1,0,73,4,3,64,69,61,67,66,78,64,68,60,75,83,82,84,68,78,70,68,72,59,62,63,26,69,71,67,68,29,39,31
0,1,73,3,2,41,28,72,63,58,47,58,62,68,67,34,36,36,67,45,64,72,71,88,22,79,72,34,53,67,67,71,72,70
0,1,73,3,3,74,39,69,74,42,70,54,44,73,75,59,44,66,74,78,58,81,78,63,41,71,75,53,62,58,69,75,74,74
0,1,73,3,2,55,36,75,62,11,54,36,16,60,58,67,68,72,68,61,43,81,71,75,23,81,72,38,51,28,55,72,72,66
0,0,73,3,3,62,73,73,67,69,67,56,43,61,71,62,60,66,74,69,73,78,75,83,66,78,57,75,65,65,68,44,39,25
0,1,73,3,2,66,25,75,65,27,50,76,79,64,62,54,49,45,72,39,85,52,62,83,69,70,71,38,51,69,74,73,75,73
0,0,73,5,3,57,70,76,70,68,67,66,65,64,75,59,58,42,69,46,76,72,40,92,70,74,52,75,71,75,76,41,40,38
0,1,73,4,3,74,65,69,74,63,68,68,65,68,75,77,76,70,67,68,61,63,70,65,59,65,71,72,67,66,65,72,73,72
0,0,73,4,4,62,71,41,66,72,76,71,71,52,75,80,72,79,73,88,72,75,68,66,74,76,18,78,68,68,79,38,12,17
1,0,73,2,3,67,67,64,71,65,74,73,67,67,73,64,68,67,75,56,84,55,85,76,74,74,62,74,75,58,74,61,68,62
0,0,73,4,3,67,70,47,71,69,76,72,69,68,74,77,76,84,68,80,70,76,68,40,71,64,35,71,70,68,75,41,27,34
0,0,73,2,3,61,70,70,67,66,70,64,58,60,72,76,78,76,70,64,72,73,74,77,70,60,37,73,63,72,70,30,35,22
1,0,73,3,3,67,70,48,75,59,70,69,66,72,75,60,59,67,68,74,70,64,79,72,72,60,63,74,72,76,75,52,63,45
0,1,73,3,3,71,60,42,70,52,70,50,47,72,71,73,69,78,68,75,60,63,87,62,68,62,73,71,62,43,68,73,74,75
0,1,73,3,2,53,34,74,65,40,63,44,45,65,67,65,64,69,67,65,57,85,72,76,41,83,70,50,50,56,66,69,71,69
0,1,73,3,2,70,22,68,64,25,62,31,37,66,68,55,61,68,70,67,70,76,70,77,41,80,76,56,46,41,67,70,73,73
0,0,73,4,3,66,63,74,74,76,75,53,50,68,73,66,61,76,78,68,75,86,64,59,65,73,48,77,69,70,68,54,56,45
0,0,73,3,3,63,80,70,69,65,70,69,75,62,71,58,66,69,72,65,71,74,68,78,63,55,30,73,67,78,68,37,22,29
1,0,73,4,3,70,70,56,70,49,75,70,60,59,72,81,80,79,69,79,73,59,63,51,62,33,35,73,70,52,70,40,54,32
1,0,73,3,3,68,52,70,76,54,68,64,68,75,73,49,57,64,68,59,73,67,87,76,68,74,70,59,72,64,75,66,67,64
